name?Ticker?ticker?Industry
Drilling Tools International Corporation?NasdaqCM:DTI?DTI?Oil and Gas Equipment and Services
eXoZymes, Inc.?NasdaqCM:EXOZ?EXOZ?Biotechnology
Intelligent Protection Management Corp.?NasdaqCM:IPM?IPM?Interactive Media and Services
Opus Genetics, Inc.?NasdaqCM:IRD?IRD?Biotechnology
Jade Biosciences, Inc.?NasdaqCM:JBIO?JBIO?Biotechnology
Jupiter Neurosciences, Inc.?NasdaqCM:JUNS?JUNS?Pharmaceuticals
Kestrel Group Ltd?NasdaqCM:KG?KG?Reinsurance
Niagen Bioscience, Inc.?NasdaqCM:NAGE?NAGE?Life Sciences Tools and Services
Insight Molecular Diagnostics Inc.?NasdaqCM:OCX?OCX?Biotechnology
Prairie Operating Co.?NasdaqCM:PROP?PROP?Oil and Gas Exploration and Production
Rein Therapeutics Inc.?NasdaqCM:RNTX?RNTX?Biotechnology
Synergy CHC Corp.?NasdaqCM:SNYR?SNYR?Personal Care Products
Whitehawk Therapeutics, Inc.?NasdaqCM:WHWK?WHWK?Biotechnology
Longevity Health Holdings, Inc.?NasdaqCM:XAGE?XAGE?Biotechnology
Actuate Therapeutics, Inc. Common stock?NasdaqGM:ACTU?ACTU?Biotechnology
Anteris Technologies Global Corp.?NasdaqGM:AVR?AVR?Health Care Equipment
Beta Bionics, Inc.?NasdaqGM:BBNX?BBNX?Health Care Equipment
Bicara Therapeutics Inc.?NasdaqGM:BCAX?BCAX?Biotechnology
Cambium Networks Corporation?NasdaqGM:CMBM?CMBM?Communications Equipment
DIH Holding US, Inc.?NasdaqGM:DHAI?DHAI?Health Care Equipment
Maze Therapeutics, Inc.?NasdaqGM:MAZE?MAZE?Pharmaceuticals
OnKure Therapeutics, Inc.?NasdaqGM:OKUR?OKUR?Biotechnology
Oruka Therapeutics, Inc.?NasdaqGM:ORKA?ORKA?Biotechnology
Pamt Corp.?NasdaqGM:PAMT?PAMT?Cargo Ground Transportation
