STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
TJX,NYSE:TJX,"The TJX Companies, Inc.",Apparel Retail
ISRG,NasdaqGS:ISRG,"Intuitive Surgical, Inc.",Health Care Equipment
EL,NYSE:EL,The Estée Lauder Companies Inc.,Personal Care Products
REGN,NasdaqGS:REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology
PYPL,NasdaqGS:PYPL,"PayPal Holdings, Inc.",Transaction and Payment Processing Services
PGR,NYSE:PGR,The Progressive Corporation,Property and Casualty Insurance
MMC,NYSE:MMC,"Marsh & McLennan Companies, Inc.",Insurance Brokers
VRTX,NasdaqGS:VRTX,Vertex Pharmaceuticals Incorporated,Biotechnology
CB,NYSE:CB,Chubb Limited,Property and Casualty Insurance
MO,NYSE:MO,"Altria Group, Inc.",Tobacco
ABNB,NasdaqGS:ABNB,"Airbnb, Inc.","Hotels, Resorts and Cruise Lines"
ZTS,NYSE:ZTS,Zoetis Inc.,Pharmaceuticals
TGT,NYSE:TGT,Target Corporation,Consumer Staples Merchandise Retail
CI,NYSE:CI,The Cigna Group,Health Care Services
SO,NYSE:SO,The Southern Company,Electric Utilities
DUK,NYSE:DUK,Duke Energy Corporation,Electric Utilities
ITW,NYSE:ITW,Illinois Tool Works Inc.,Industrial Machinery and Supplies and Components
HCA,NYSE:HCA,"HCA Healthcare, Inc.",Health Care Facilities
BSX,NYSE:BSX,Boston Scientific Corporation,Health Care Equipment
LRCX,NasdaqGS:LRCX,Lam Research Corporation,Semiconductor Materials and Equipment
FISV,NasdaqGS:FISV,"Fiserv, Inc.",Transaction and Payment Processing Services
BDX,NYSE:BDX,"Becton, Dickinson and Company",Health Care Equipment
NOC,NYSE:NOC,Northrop Grumman Corporation,Aerospace and Defense
SLB,NYSE:SLB,Schlumberger Limited,Oil and Gas Equipment and Services
CME,NasdaqGS:CME,CME Group Inc.,Financial Exchanges and Data
ETN,NYSE:ETN,Eaton Corporation plc,Electrical Components and Equipment
EOG,NYSE:EOG,"EOG Resources, Inc.",Oil and Gas Exploration and Production
ATVI,NasdaqGS:ATVI,"Activision Blizzard, Inc.",Interactive Home Entertainment
EQIX,NasdaqGS:EQIX,"Equinix, Inc.",Data Center REITs
WM,NYSE:WM,"Waste Management, Inc.",Environmental and Facilities Services
MU,NasdaqGS:MU,"Micron Technology, Inc.",Semiconductors
AON,NYSE:AON,Aon plc,Insurance Brokers
UBER,NYSE:UBER,"Uber Technologies, Inc.",Passenger Ground Transportation
APD,NYSE:APD,"Air Products and Chemicals, Inc.",Industrial Gases
GD,NYSE:GD,General Dynamics Corporation,Aerospace and Defense
CL,NYSE:CL,Colgate-Palmolive Company,Household Products
BX,NYSE:BX,Blackstone Inc.,Asset Management and Custody Banks
CSX,NasdaqGS:CSX,CSX Corporation,Rail Transportation
HUM,NYSE:HUM,Humana Inc.,Managed Health Care
PANW,NasdaqGS:PANW,"Palo Alto Networks, Inc.",Systems Software
MPC,NYSE:MPC,Marathon Petroleum Corporation,Oil and Gas Refining and Marketing
MRNA,NasdaqGS:MRNA,"Moderna, Inc.",Biotechnology
SCCO,NYSE:SCCO,Southern Copper Corporation,Copper
SNPS,NasdaqGS:SNPS,"Synopsys, Inc.",Application Software
FCX,NYSE:FCX,Freeport-McMoRan Inc.,Copper
ICE,NYSE:ICE,"Intercontinental Exchange, Inc.",Financial Exchanges and Data
CCI,NYSE:CCI,Crown Castle Inc.,Telecom Tower REITs
SHW,NYSE:SHW,The Sherwin-Williams Company,Specialty Chemicals
MMM,NYSE:MMM,3M Company,Industrial Conglomerates
FDX,NYSE:FDX,FedEx Corporation,Air Freight and Logistics
CDNS,NasdaqGS:CDNS,"Cadence Design Systems, Inc.",Application Software
MNST,NasdaqGS:MNST,Monster Beverage Corporation,Soft Drinks and Non-alcoholic Beverages
MCO,NYSE:MCO,Moody's Corporation,Financial Exchanges and Data
OXY,NYSE:OXY,Occidental Petroleum Corporation,Integrated Oil and Gas
KLAC,NasdaqGS:KLAC,KLA Corporation,Semiconductor Materials and Equipment
USB,NYSE:USB,U.S. Bancorp,Diversified Banks
CHTR,NasdaqGS:CHTR,"Charter Communications, Inc.",Cable and Satellite
WDAY,NasdaqGS:WDAY,"Workday, Inc.",Application Software
VMW,NYSE:VMW,"VMware, Inc.",Systems Software
PSA,NYSE:PSA,Public Storage,Self-Storage REITs
ORLY,NasdaqGS:ORLY,"O'Reilly Automotive, Inc.",Automotive Retail
FTNT,NasdaqGS:FTNT,"Fortinet, Inc.",Systems Software
HSY,NYSE:HSY,The Hershey Company,Packaged Foods and Meats
ANET,NYSE:ANET,"Arista Networks, Inc.",Communications Equipment
VLO,NYSE:VLO,Valero Energy Corporation,Oil and Gas Refining and Marketing
MAR,NasdaqGS:MAR,"Marriott International, Inc.","Hotels, Resorts and Cruise Lines"
GM,NYSE:GM,General Motors Company,Automobile Manufacturers
PNC,NYSE:PNC,"The PNC Financial Services Group, Inc.",Regional Banks
F,NYSE:F,Ford Motor Company,Automobile Manufacturers
GIS,NYSE:GIS,"General Mills, Inc.",Packaged Foods and Meats
SNOW,NYSE:SNOW,Snowflake Inc.,Internet Services and Infrastructure
EW,NYSE:EW,Edwards Lifesciences Corporation,Health Care Equipment
EMR,NYSE:EMR,Emerson Electric Co.,Electrical Components and Equipment
KDP,NasdaqGS:KDP,Keurig Dr Pepper Inc.,Soft Drinks and Non-alcoholic Beverages
MCK,NYSE:MCK,McKesson Corporation,Health Care Distributors
APH,NYSE:APH,Amphenol Corporation,Electronic Components
NSC,NYSE:NSC,Norfolk Southern Corporation,Rail Transportation
PXD,NYSE:PXD,Pioneer Natural Resources Company,Oil and Gas Exploration and Production
MSI,NYSE:MSI,"Motorola Solutions, Inc.",Communications Equipment
SRE,NYSE:SRE,Sempra Energy,Multi-Utilities
KHC,NasdaqGS:KHC,The Kraft Heinz Company,Packaged Foods and Meats
CMG,NYSE:CMG,"Chipotle Mexican Grill, Inc.",Restaurants
ECL,NYSE:ECL,Ecolab Inc.,Specialty Chemicals
CTAS,NasdaqGS:CTAS,Cintas Corporation,Diversified Support Services
ROP,NYSE:ROP,"Roper Technologies, Inc.",Application Software
AEP,NasdaqGS:AEP,"American Electric Power Company, Inc.",Electric Utilities
PSX,NYSE:PSX,Phillips 66,Oil and Gas Refining and Marketing
D,NYSE:D,"Dominion Energy, Inc.",Multi-Utilities
LULU,NasdaqGS:LULU,Lululemon Athletica Inc.,"Apparel, Accessories and Luxury Goods"
DG,NYSE:DG,Dollar General Corporation,Consumer Staples Merchandise Retail
MCHP,NasdaqGS:MCHP,Microchip Technology Incorporated,Semiconductors
KMB,NYSE:KMB,Kimberly-Clark Corporation,Household Products
TFC,NYSE:TFC,Truist Financial Corporation,Regional Banks
KKR,NYSE:KKR,KKR & Co. Inc.,Asset Management and Custody Banks
AZO,NYSE:AZO,"AutoZone, Inc.",Automotive Retail
DXCM,NasdaqGS:DXCM,"DexCom, Inc.",Health Care Equipment
