STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
BIPC,NYSE:BIPC,Brookfield Infrastructure Corporation,Gas Utilities
NEWR,NYSE:NEWR,"New Relic, Inc.",Application Software
HALO,NasdaqGS:HALO,"Halozyme Therapeutics, Inc.",Biotechnology
AAON,NasdaqGS:AAON,"AAON, Inc.",Building Products
ITCI,NasdaqGS:ITCI,"Intra-Cellular Therapies, Inc.",Pharmaceuticals
NJR,NYSE:NJR,New Jersey Resources Corporation,Gas Utilities
NWL,NasdaqGS:NWL,Newell Brands Inc.,Housewares and Specialties
FIVN,NasdaqGM:FIVN,"Five9, Inc.",Application Software
FOXF,NasdaqGS:FOXF,Fox Factory Holding Corp.,Automotive Parts and Equipment
DNB,NYSE:DNB,"Dun & Bradstreet Holdings, Inc.",Research and Consulting Services
IONS,NasdaqGS:IONS,"Ionis Pharmaceuticals, Inc.",Biotechnology
AMG,NYSE:AMG,"Affiliated Managers Group, Inc.",Asset Management and Custody Banks
RXDX,NasdaqGS:RXDX,"Prometheus Biosciences, Inc.",Biotechnology
DRVN,NasdaqGS:DRVN,Driven Brands Holdings Inc.,Diversified Support Services
ATI,NYSE:ATI,ATI Inc.,Steel
ORA,NYSE:ORA,"Ormat Technologies, Inc.",Renewable Electricity
SHC,NasdaqGS:SHC,Sotera Health Company,Life Sciences Tools and Services
EXPO,NasdaqGS:EXPO,"Exponent, Inc.",Research and Consulting Services
HUN,NYSE:HUN,Huntsman Corporation,Diversified Chemicals
ASO,NasdaqGS:ASO,"Academy Sports and Outdoors, Inc.",Other Specialty Retail
AM,NYSE:AM,Antero Midstream Corporation,Oil and Gas Storage and Transportation
COKE,NasdaqGS:COKE,"Coca-Cola Consolidated, Inc.",Soft Drinks and Non-alcoholic Beverages
MTSI,NasdaqGS:MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductors
MP,NYSE:MP,MP Materials Corp.,Diversified Metals and Mining
VAC,NYSE:VAC,Marriott Vacations Worldwide Corporation,"Hotels, Resorts and Cruise Lines"
HGV,NYSE:HGV,Hilton Grand Vacations Inc.,"Hotels, Resorts and Cruise Lines"
DV,NYSE:DV,"DoubleVerify Holdings, Inc.",Application Software
HQY,NasdaqGS:HQY,"HealthEquity, Inc.",Managed Health Care
UFPI,NasdaqGS:UFPI,"UFP Industries, Inc.",Building Products
DISH,NasdaqGS:DISH,DISH Network Corporation,Cable and Satellite
OWL,NYSE:OWL,Blue Owl Capital Inc.,Asset Management and Custody Banks
FIZZ,NasdaqGS:FIZZ,National Beverage Corp.,Soft Drinks and Non-alcoholic Beverages
MPW,NYSE:MPW,"Medical Properties Trust, Inc.",Health Care REITs
RYN,NYSE:RYN,Rayonier Inc.,Timber REITs
RHP,NYSE:RHP,"Ryman Hospitality Properties, Inc.",Hotel and Resort REITs
VAL,NYSE:VAL,Valaris Limited,Oil and Gas Drilling
PRGO,NYSE:PRGO,Perrigo Company plc,Pharmaceuticals
TNET,NYSE:TNET,"TriNet Group, Inc.",Human Resource and Employment Services
NSIT,NasdaqGS:NSIT,"Insight Enterprises, Inc.",Technology Distributors
POWI,NasdaqGS:POWI,"Power Integrations, Inc.",Semiconductors
QLYS,NasdaqGS:QLYS,"Qualys, Inc.",Systems Software
DTM,NYSE:DTM,"DT Midstream, Inc.",Oil and Gas Storage and Transportation
MMS,NYSE:MMS,"Maximus, Inc.",Data Processing and Outsourced Services
SNDR,NYSE:SNDR,"Schneider National, Inc.",Cargo Ground Transportation
M,NYSE:M,"Macy's, Inc.",Broadline Retail
UBSI,NasdaqGS:UBSI,"United Bankshares, Inc.",Regional Banks
S,NYSE:S,"SentinelOne, Inc.",Systems Software
MSM,NYSE:MSM,"MSC Industrial Direct Co., Inc.",Trading Companies and Distributors
VLY,NasdaqGS:VLY,Valley National Bancorp,Regional Banks
IART,NasdaqGS:IART,Integra LifeSciences Holdings Corporation,Health Care Equipment
PSN,NYSE:PSN,Parsons Corporation,Aerospace and Defense
PYCR,NasdaqGS:PYCR,"Paycor HCM, Inc.",Application Software
SSD,NYSE:SSD,"Simpson Manufacturing Co., Inc.",Building Products
ESI,NYSE:ESI,Element Solutions Inc,Specialty Chemicals
GBCI,NYSE:GBCI,"Glacier Bancorp, Inc.",Regional Banks
INFA,NYSE:INFA,Informatica Inc.,Application Software
MSGS,NYSE:MSGS,Madison Square Garden Sports Corp.,Movies and Entertainment
ALKS,NasdaqGS:ALKS,Alkermes plc,Biotechnology
ELAN,NYSE:ELAN,Elanco Animal Health Incorporated,Pharmaceuticals
WEN,NasdaqGS:WEN,The Wendy's Company,Restaurants
AXS,NYSE:AXS,AXIS Capital Holdings Limited,Property and Casualty Insurance
NSP,NYSE:NSP,"Insperity, Inc.",Human Resource and Employment Services
THG,NYSE:THG,"The Hanover Insurance Group, Inc.",Property and Casualty Insurance
KRG,NYSE:KRG,Kite Realty Group Trust,Retail REITs
IAC,NasdaqGS:IAC,IAC Inc.,Interactive Media and Services
ALIT,NYSE:ALIT,"Alight, Inc.",Human Resource and Employment Services
IPAR,NasdaqGS:IPAR,"Inter Parfums, Inc.",Personal Care Products
ABG,NYSE:ABG,"Asbury Automotive Group, Inc.",Automotive Retail
RYAN,NYSE:RYAN,"Ryan Specialty Holdings, Inc.",Insurance Brokers
PENN,NasdaqGS:PENN,"PENN Entertainment, Inc.",Casinos and Gaming
OGS,NYSE:OGS,"ONE Gas, Inc.",Gas Utilities
BRBR,NYSE:BRBR,"BellRing Brands, Inc.",Personal Care Products
ASAN,NYSE:ASAN,"Asana, Inc.",Application Software
FFIN,NasdaqGS:FFIN,"First Financial Bankshares, Inc.",Regional Banks
AJRD,NYSE:AJRD,"Aerojet Rocketdyne Holdings, Inc.",Aerospace and Defense
SNV,NYSE:SNV,Synovus Financial Corp.,Regional Banks
OMF,NYSE:OMF,"OneMain Holdings, Inc.",Consumer Finance
COLB,NasdaqGS:COLB,"Columbia Banking System, Inc.",Regional Banks
FLS,NYSE:FLS,Flowserve Corporation,Industrial Machinery and Supplies and Components
CC,NYSE:CC,The Chemours Company,Diversified Chemicals
SWX,NYSE:SWX,"Southwest Gas Holdings, Inc.",Gas Utilities
EVR,NYSE:EVR,Evercore Inc.,Investment Banking and Brokerage
WTFC,NasdaqGS:WTFC,Wintrust Financial Corporation,Regional Banks
BFAM,NYSE:BFAM,Bright Horizons Family Solutions Inc.,Education Services
ZION,NasdaqGS:ZION,"Zions Bancorporation, National Association",Regional Banks
SYNA,NasdaqGS:SYNA,Synaptics Incorporated,Semiconductors
VC,NasdaqGS:VC,Visteon Corporation,Automotive Parts and Equipment
HOMB,NYSE:HOMB,"Home Bancshares, Inc. (Conway, AR)",Regional Banks
FCFS,NasdaqGS:FCFS,"FirstCash Holdings, Inc.",Consumer Finance
APPF,NasdaqGM:APPF,"AppFolio, Inc.",Application Software
JHG,NYSE:JHG,Janus Henderson Group plc,Asset Management and Custody Banks
FLR,NYSE:FLR,Fluor Corporation,Construction and Engineering
MDGL,NasdaqGS:MDGL,"Madrigal Pharmaceuticals, Inc.",Biotechnology
ELF,NYSE:ELF,"e.l.f. Beauty, Inc.",Personal Care Products
SEB,NYSEAM:SEB,Seaboard Corporation,Packaged Foods and Meats
POR,NYSE:POR,Portland General Electric Company,Electric Utilities
AL,NYSE:AL,Air Lease Corporation,Trading Companies and Distributors
DEN,NYSE:DEN,Denbury Inc.,Oil and Gas Exploration and Production
ACLS,NasdaqGS:ACLS,"Axcelis Technologies, Inc.",Semiconductor Materials and Equipment
FN,NYSE:FN,Fabrinet,Electronic Manufacturing Services
FELE,NasdaqGS:FELE,"Franklin Electric Co., Inc.",Industrial Machinery and Supplies and Components
ESNT,NYSE:ESNT,Essent Group Ltd.,Commercial and Residential Mortgage Finance
FOUR,NYSE:FOUR,"Shift4 Payments, Inc.",Transaction and Payment Processing Services
RUN,NasdaqGS:RUN,Sunrun Inc.,Electrical Components and Equipment
CBT,NYSE:CBT,Cabot Corporation,Commodity Chemicals
SGRY,NasdaqGS:SGRY,"Surgery Partners, Inc.",Health Care Facilities
SQSP,NYSE:SQSP,"Squarespace, Inc.",Internet Services and Infrastructure
ONTO,NYSE:ONTO,Onto Innovation Inc.,Semiconductor Materials and Equipment
SKY,NYSE:SKY,Skyline Champion Corporation,Homebuilding
CWST,NasdaqGS:CWST,"Casella Waste Systems, Inc.",Environmental and Facilities Services
MTH,NYSE:MTH,Meritage Homes Corporation,Homebuilding
THO,NYSE:THO,"THOR Industries, Inc.",Automobile Manufacturers
VNT,NYSE:VNT,Vontier Corporation,Electronic Equipment and Instruments
LEG,NYSE:LEG,"Leggett & Platt, Incorporated",Home Furnishings
MMSI,NasdaqGS:MMSI,"Merit Medical Systems, Inc.",Health Care Supplies
DIOD,NasdaqGS:DIOD,Diodes Incorporated,Semiconductors
ONB,NasdaqGS:ONB,Old National Bancorp,Regional Banks
TDOC,NYSE:TDOC,"Teladoc Health, Inc.",Health Care Technology
WFRD,NasdaqGS:WFRD,Weatherford International plc,Oil and Gas Equipment and Services
HE,NYSE:HE,"Hawaiian Electric Industries, Inc.",Electric Utilities
MGY,NYSE:MGY,Magnolia Oil & Gas Corporation,Oil and Gas Exploration and Production
MAN,NYSE:MAN,ManpowerGroup Inc.,Human Resource and Employment Services
PNFP,NasdaqGS:PNFP,"Pinnacle Financial Partners, Inc.",Regional Banks
MLI,NYSE:MLI,"Mueller Industries, Inc.",Industrial Machinery and Supplies and Components
FNB,NYSE:FNB,F.N.B. Corporation,Regional Banks
KEX,NYSE:KEX,Kirby Corporation,Marine Transportation
BKH,NYSE:BKH,Black Hills Corporation,Multi-Utilities
PNM,NYSE:PNM,"PNM Resources, Inc.",Electric Utilities
WU,NYSE:WU,The Western Union Company,Transaction and Payment Processing Services
HAE,NYSE:HAE,Haemonetics Corporation,Health Care Supplies
ALSN,NYSE:ALSN,"Allison Transmission Holdings, Inc.",Construction Machinery and Heavy Transportation Equipment
R,NYSE:R,"Ryder System, Inc.",Cargo Ground Transportation
TMHC,NYSE:TMHC,Taylor Morrison Home Corporation,Homebuilding
BPOP,NasdaqGS:BPOP,"Popular, Inc.",Regional Banks
AVT,NasdaqGS:AVT,"Avnet, Inc.",Technology Distributors
BE,NYSE:BE,Bloom Energy Corporation,Heavy Electrical Equipment
PLTK,NasdaqGS:PLTK,Playtika Holding Corp.,Interactive Home Entertainment
AYX,NYSE:AYX,"Alteryx, Inc.",Application Software
CVT,NasdaqGM:CVT,Cvent Holding Corp.,Application Software
ASGN,NYSE:ASGN,ASGN Incorporated,Human Resource and Employment Services
TDC,NYSE:TDC,Teradata Corporation,Systems Software
BCPC,NasdaqGS:BCPC,Balchem Corporation,Specialty Chemicals
BL,NasdaqGS:BL,"BlackLine, Inc.",Application Software
SRCL,NasdaqGS:SRCL,"Stericycle, Inc.",Environmental and Facilities Services
CABO,NYSE:CABO,"Cable One, Inc.",Cable and Satellite
SAM,NYSE:SAM,"The Boston Beer Company, Inc.",Brewers
MODG,NYSE:MODG,Topgolf Callaway Brands Corp.,Leisure Products
NEOG,NasdaqGS:NEOG,Neogen Corporation,Health Care Supplies
OZK,NasdaqGS:OZK,Bank OZK,Regional Banks
PEGA,NasdaqGS:PEGA,Pegasystems Inc.,Application Software
UA,NYSE:UA,"Under Armour, Inc.","Apparel, Accessories and Luxury Goods"
UAA,NYSE:UAA,"Under Armour, Inc.","Apparel, Accessories and Luxury Goods"
CNM,NYSE:CNM,"Core & Main, Inc.",Trading Companies and Distributors
ICUI,NasdaqGS:ICUI,"ICU Medical, Inc.",Health Care Supplies
SMPL,NasdaqCM:SMPL,The Simply Good Foods Company,Packaged Foods and Meats
HHC,NYSE:HHC,The Howard Hughes Corporation,Real Estate Development
PCH,NasdaqGS:PCH,PotlatchDeltic Corporation,Timber REITs
GTES,NYSE:GTES,Gates Industrial Corporation plc,Industrial Machinery and Supplies and Components
PTON,NasdaqGS:PTON,"Peloton Interactive, Inc.",Leisure Products
SEAS,NYSE:SEAS,"SeaWorld Entertainment, Inc.",Leisure Facilities
ADNT,NYSE:ADNT,Adient plc,Automotive Parts and Equipment
LPX,NYSE:LPX,Louisiana-Pacific Corporation,Forest Products
SMG,NYSE:SMG,The Scotts Miracle-Gro Company,Fertilizers and Agricultural Chemicals
LTHM,NYSE:LTHM,Livent Corporation,Specialty Chemicals
MTG,NYSE:MTG,MGIC Investment Corporation,Commercial and Residential Mortgage Finance
GATX,NYSE:GATX,GATX Corporation,Trading Companies and Distributors
SHLS,NasdaqGM:SHLS,"Shoals Technologies Group, Inc.",Electrical Components and Equipment
BOX,NYSE:BOX,"Box, Inc.",Application Software
WAL,NYSE:WAL,Western Alliance Bancorporation,Regional Banks
MAXR,NYSE:MAXR,Maxar Technologies Inc.,Aerospace and Defense
PINC,NasdaqGS:PINC,"Premier, Inc.",Health Care Services
HL,NYSE:HL,Hecla Mining Company,Silver
CERT,NasdaqGS:CERT,"Certara, Inc.",Health Care Technology
PECO,NasdaqGS:PECO,"Phillips Edison & Company, Inc.",Retail REITs
CERE,NasdaqCM:CERE,"Cerevel Therapeutics Holdings, Inc.",Biotechnology
LNC,NYSE:LNC,Lincoln National Corporation,Life and Health Insurance
DOCN,NYSE:DOCN,"DigitalOcean Holdings, Inc.",Internet Services and Infrastructure
W,NYSE:W,Wayfair Inc.,Homefurnishing Retail
KRC,NYSE:KRC,Kilroy Realty Corporation,Office REITs
RITM,NYSE:RITM,Rithm Capital Corp.,Mortgage REITs
CADE,NYSE:CADE,Cadence Bank,Regional Banks
BECN,NasdaqGS:BECN,"Beacon Roofing Supply, Inc.",Trading Companies and Distributors
TGNA,NYSE:TGNA,TEGNA Inc.,Broadcasting
AI,NYSE:AI,"C3.ai, Inc.",Application Software
NSA,NYSE:NSA,National Storage Affiliates Trust,Self-Storage REITs
ZWS,NYSE:ZWS,Zurn Elkay Water Solutions Corporation,Building Products
AVNT,NYSE:AVNT,Avient Corporation,Specialty Chemicals
IRTC,NasdaqGS:IRTC,"iRhythm Technologies, Inc.",Health Care Equipment
HP,NYSE:HP,"Helmerich & Payne, Inc.",Oil and Gas Drilling
BDC,NYSE:BDC,Belden Inc.,Electronic Components
FL,NYSE:FL,"Foot Locker, Inc.",Apparel Retail
ACT,NasdaqGS:ACT,"Enact Holdings, Inc.",Commercial and Residential Mortgage Finance
BTU,NYSE:BTU,Peabody Energy Corporation,Coal and Consumable Fuels
INST,NYSE:INST,"Instructure Holdings, Inc.",Application Software
LITE,NasdaqGS:LITE,Lumentum Holdings Inc.,Communications Equipment
GPS,NYSE:GPS,"The Gap, Inc.",Apparel Retail
ZD,NasdaqGS:ZD,"Ziff Davis, Inc.",Interactive Media and Services
ALE,NYSE:ALE,"ALLETE, Inc.",Electric Utilities
FRO,NYSE:FRO,Frontline plc,Oil and Gas Storage and Transportation
SR,NYSE:SR,Spire Inc.,Gas Utilities
FUL,NYSE:FUL,H.B. Fuller Company,Specialty Chemicals
XPO,NYSE:XPO,"XPO, Inc.",Cargo Ground Transportation
SYNH,NasdaqGS:SYNH,"Syneos Health, Inc.",Life Sciences Tools and Services
AEIS,NasdaqGS:AEIS,"Advanced Energy Industries, Inc.",Electronic Equipment and Instruments
CPA,NYSE:CPA,"Copa Holdings, S.A.",Passenger Airlines
CHPT,NYSE:CHPT,"ChargePoint Holdings, Inc.",Electrical Components and Equipment
SPR,NYSE:SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace and Defense
CWEN,NYSE:CWEN,"Clearway Energy, Inc.",Renewable Electricity
CWEN.A,NYSE:CWEN.A,"Clearway Energy, Inc.",Renewable Electricity
SFM,NasdaqGS:SFM,"Sprouts Farmers Market, Inc.",Food Retail
QS,NYSE:QS,QuantumScape Corporation,Automotive Parts and Equipment
BLKB,NasdaqGS:BLKB,"Blackbaud, Inc.",Application Software
IRT,NYSE:IRT,"Independence Realty Trust, Inc.",Multi-Family Residential REITs
OLLI,NasdaqGM:OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Broadline Retail
EPRT,NYSE:EPRT,"Essential Properties Realty Trust, Inc.",Diversified REITs
ESGR,NasdaqGS:ESGR,Enstar Group Limited,Reinsurance
PTCT,NasdaqGS:PTCT,"PTC Therapeutics, Inc.",Biotechnology
BMI,NYSE:BMI,"Badger Meter, Inc.",Electronic Equipment and Instruments
SANM,NasdaqGS:SANM,Sanmina Corporation,Electronic Manufacturing Services
ESAB,NYSE:ESAB,ESAB Corporation,Industrial Machinery and Supplies and Components
KWR,NYSE:KWR,Quaker Chemical Corporation,Specialty Chemicals
EVH,NYSE:EVH,"Evolent Health, Inc.",Health Care Technology
DOC,NYSE:DOC,Physicians Realty Trust,Health Care REITs
ENS,NYSE:ENS,EnerSys,Electrical Components and Equipment
APLE,NYSE:APLE,"Apple Hospitality REIT, Inc.",Hotel and Resort REITs
AZEK,NYSE:AZEK,The AZEK Company Inc.,Building Products
PI,NasdaqGS:PI,"Impinj, Inc.",Semiconductors
CALX,NYSE:CALX,"Calix, Inc.",Communications Equipment
TRTN,NYSE:TRTN,Triton International Limited,Trading Companies and Distributors
NEU,NYSE:NEU,NewMarket Corporation,Specialty Chemicals
OI,NYSE:OI,"O-I Glass, Inc.","Metal, Glass and Plastic Containers"
SIG,NYSE:SIG,Signet Jewelers Limited,Other Specialty Retail
LYFT,NasdaqGS:LYFT,"Lyft, Inc.",Passenger Ground Transportation
TFSL,NasdaqGS:TFSL,TFS Financial Corporation,Commercial and Residential Mortgage Finance
WTM,NYSE:WTM,"White Mountains Insurance Group, Ltd.",Property and Casualty Insurance
KMPR,NYSE:KMPR,Kemper Corporation,Property and Casualty Insurance
LOPE,NasdaqGS:LOPE,"Grand Canyon Education, Inc.",Education Services
JBT,NYSE:JBT,John Bean Technologies Corporation,Industrial Machinery and Supplies and Components
RDN,NYSE:RDN,Radian Group Inc.,Commercial and Residential Mortgage Finance
YETI,NYSE:YETI,"YETI Holdings, Inc.",Leisure Products
NWE,NasdaqGS:NWE,NorthWestern Corporation,Multi-Utilities
SM,NYSE:SM,SM Energy Company,Oil and Gas Exploration and Production
FOCS,NasdaqGS:FOCS,Focus Financial Partners Inc.,Asset Management and Custody Banks
KOS,NYSE:KOS,Kosmos Energy Ltd.,Oil and Gas Exploration and Production
NNI,NYSE:NNI,"Nelnet, Inc.",Consumer Finance
GOLF,NYSE:GOLF,Acushnet Holdings Corp.,Leisure Products
AMN,NYSE:AMN,"AMN Healthcare Services, Inc.",Health Care Services
FHI,NYSE:FHI,"Federated Hermes, Inc.",Asset Management and Custody Banks
ZGN,NYSE:ZGN,Ermenegildo Zegna N.V.,"Apparel, Accessories and Luxury Goods"
WIRE,NasdaqGS:WIRE,Encore Wire Corporation,Electrical Components and Equipment
MSTR,NasdaqGS:MSTR,MicroStrategy Incorporated,Application Software
SUM,NYSE:SUM,"Summit Materials, Inc.",Construction Materials
KD,NYSE:KD,"Kyndryl Holdings, Inc.",IT Consulting and Other Services
NARI,NasdaqGS:NARI,"Inari Medical, Inc.",Health Care Equipment
SPT,NasdaqCM:SPT,"Sprout Social, Inc.",Application Software
CYTK,NasdaqGS:CYTK,"Cytokinetics, Incorporated",Biotechnology
RETA,NasdaqGM:RETA,"Reata Pharmaceuticals, Inc.",Pharmaceuticals
ISEE,NasdaqGS:ISEE,"IVERIC bio, Inc.",Biotechnology
TWNK,NasdaqCM:TWNK,"Hostess Brands, Inc.",Packaged Foods and Meats
HRI,NYSE:HRI,Herc Holdings Inc.,Trading Companies and Distributors
AFRM,NasdaqGS:AFRM,"Affirm Holdings, Inc.",Transaction and Payment Processing Services
NCR,NYSE:NCR,NCR Corporation,Application Software
ARRY,NasdaqGM:ARRY,"Array Technologies, Inc.",Electrical Components and Equipment
KBH,NYSE:KBH,KB Home,Homebuilding
HI,NYSE:HI,"Hillenbrand, Inc.",Industrial Machinery and Supplies and Components
CVI,NYSE:CVI,"CVR Energy, Inc.",Oil and Gas Refining and Marketing
TEX,NYSE:TEX,Terex Corporation,Construction Machinery and Heavy Transportation Equipment
FSS,NYSE:FSS,Federal Signal Corporation,Construction Machinery and Heavy Transportation Equipment
UNF,NYSE:UNF,UniFirst Corporation,Diversified Support Services
SEM,NYSE:SEM,Select Medical Holdings Corporation,Health Care Facilities
GEF,NYSE:GEF,"Greif, Inc.","Metal, Glass and Plastic Containers"
GEF.B,NYSE:GEF.B,"Greif, Inc.","Metal, Glass and Plastic Containers"
AWR,NYSE:AWR,American States Water Company,Water Utilities
NTLA,NasdaqGM:NTLA,"Intellia Therapeutics, Inc.",Biotechnology
CRVL,NasdaqGS:CRVL,CorVel Corporation,Health Care Services
CUZ,NYSE:CUZ,Cousins Properties Incorporated,Office REITs
AWI,NYSE:AWI,"Armstrong World Industries, Inc.",Building Products
CWT,NYSE:CWT,California Water Service Group,Water Utilities
UCBI,NasdaqGS:UCBI,"United Community Banks, Inc.",Regional Banks
APPN,NasdaqGM:APPN,Appian Corporation,Systems Software
FLYW,NasdaqGS:FLYW,Flywire Corporation,Transaction and Payment Processing Services
SXT,NYSE:SXT,Sensient Technologies Corporation,Specialty Chemicals
SPXC,NYSE:SPXC,"SPX Technologies, Inc.",Industrial Machinery and Supplies and Components
IBP,NYSE:IBP,"Installed Building Products, Inc.",Homebuilding
MOG.A,NYSE:MOG.A,Moog Inc.,Aerospace and Defense
ESMT,NYSE:ESMT,"EngageSmart, Inc.",Application Software
PD,NYSE:PD,"PagerDuty, Inc.",Application Software
AVA,NYSE:AVA,Avista Corporation,Multi-Utilities
BNL,NYSE:BNL,"Broadstone Net Lease, Inc.",Diversified REITs
FRPT,NasdaqGM:FRPT,"Freshpet, Inc.",Packaged Foods and Meats
VSH,NYSE:VSH,"Vishay Intertechnology, Inc.",Electronic Components
PRVA,NasdaqGS:PRVA,"Privia Health Group, Inc.",Health Care Services
STNG,NYSE:STNG,Scorpio Tankers Inc.,Oil and Gas Storage and Transportation
ENV,NYSE:ENV,"Envestnet, Inc.",Application Software
CNMD,NYSE:CNMD,CONMED Corporation,Health Care Equipment
PWSC,NYSE:PWSC,"PowerSchool Holdings, Inc.",Application Software
DNLI,NasdaqGS:DNLI,Denali Therapeutics Inc.,Biotechnology
WOR,NYSE:WOR,"Worthington Industries, Inc.",Steel
CNS,NYSE:CNS,"Cohen & Steers, Inc.",Asset Management and Custody Banks
PR,NYSE:PR,Permian Resources Corporation,Oil and Gas Exploration and Production
FOLD,NasdaqGM:FOLD,"Amicus Therapeutics, Inc.",Biotechnology
HWC,NasdaqGS:HWC,Hancock Whitney Corporation,Regional Banks
SSRM,NasdaqGS:SSRM,SSR Mining Inc.,Gold
GT,NasdaqGS:GT,The Goodyear Tire & Rubber Company,Tires and Rubber
FIBK,NasdaqGS:FIBK,"First Interstate BancSystem, Inc.",Regional Banks
BCO,NYSE:BCO,The Brink's Company,Security and Alarm Services
LTH,NYSE:LTH,"Life Time Group Holdings, Inc.",Leisure Facilities
VIR,NasdaqGS:VIR,"Vir Biotechnology, Inc.",Biotechnology
PBH,NYSE:PBH,Prestige Consumer Healthcare Inc.,Pharmaceuticals
GPI,NYSE:GPI,"Group 1 Automotive, Inc.",Automotive Retail
AEL,NYSE:AEL,American Equity Investment Life Holding Company,Life and Health Insurance
SITM,NasdaqGM:SITM,SiTime Corporation,Semiconductors
STAA,NasdaqGM:STAA,STAAR Surgical Company,Health Care Supplies
AZTA,NasdaqGS:AZTA,"Azenta, Inc.",Life Sciences Tools and Services
JXN,NYSE:JXN,Jackson Financial Inc.,Diversified Financial Services
ACA,NYSE:ACA,"Arcosa, Inc.",Construction and Engineering
ACAD,NasdaqGS:ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology
TR,NYSE:TR,"Tootsie Roll Industries, Inc.",Packaged Foods and Meats
BXMT,NYSE:BXMT,"Blackstone Mortgage Trust, Inc.",Mortgage REITs
ROG,NYSE:ROG,Rogers Corporation,Electronic Components
TNL,NYSE:TNL,Travel + Leisure Co.,"Hotels, Resorts and Cruise Lines"
RUSH.A,NasdaqGS:RUSH.A,"Rush Enterprises, Inc.",Trading Companies and Distributors
RUSH.B,NasdaqGS:RUSH.B,"Rush Enterprises, Inc.",Trading Companies and Distributors
LXP,NYSE:LXP,LXP Industrial Trust,Industrial REITs
OTTR,NasdaqGS:OTTR,Otter Tail Corporation,Electric Utilities
CCOI,NasdaqGS:CCOI,"Cogent Communications Holdings, Inc.",Alternative Carriers
AMBA,NasdaqGS:AMBA,"Ambarella, Inc.",Semiconductors
PCVX,NasdaqGS:PCVX,"Vaxcyte, Inc.",Biotechnology
PGNY,NasdaqGS:PGNY,"Progyny, Inc.",Managed Health Care
CRK,NYSE:CRK,"Comstock Resources, Inc.",Oil and Gas Exploration and Production
SLM,NasdaqGS:SLM,SLM Corporation,Consumer Finance
KLIC,NasdaqGS:KLIC,"Kulicke and Soffa Industries, Inc.",Semiconductor Materials and Equipment
BHF,NasdaqGS:BHF,"Brighthouse Financial, Inc.",Life and Health Insurance
CALM,NasdaqGS:CALM,"Cal-Maine Foods, Inc.",Packaged Foods and Meats
STNE,NasdaqGS:STNE,StoneCo Ltd.,Transaction and Payment Processing Services
PFSI,NYSE:PFSI,"PennyMac Financial Services, Inc.",Commercial and Residential Mortgage Finance
AGO,NYSE:AGO,Assured Guaranty Ltd.,Property and Casualty Insurance
SFBS,NYSE:SFBS,"ServisFirst Bancshares, Inc.",Regional Banks
ABM,NYSE:ABM,ABM Industries Incorporated,Environmental and Facilities Services
MRCY,NasdaqGS:MRCY,"Mercury Systems, Inc.",Aerospace and Defense
RNG,NYSE:RNG,"RingCentral, Inc.",Application Software
INDB,NasdaqGS:INDB,Independent Bank Corp.,Regional Banks
RELY,NasdaqGS:RELY,"Remitly Global, Inc.",Transaction and Payment Processing Services
VNO,NYSE:VNO,Vornado Realty Trust,Office REITs
ACIW,NasdaqGS:ACIW,"ACI Worldwide, Inc.",Application Software
ENOV,NYSE:ENOV,Enovis Corporation,Health Care Equipment
BOWL,NYSE:BOWL,Bowlero Corp.,Leisure Facilities
LAZ,NYSE:LAZ,Lazard Ltd,Investment Banking and Brokerage
WERN,NasdaqGS:WERN,"Werner Enterprises, Inc.",Cargo Ground Transportation
COOP,NasdaqCM:COOP,Mr. Cooper Group Inc.,Commercial and Residential Mortgage Finance
PACB,NasdaqGS:PACB,"Pacific Biosciences of California, Inc.",Life Sciences Tools and Services
EPR,NYSE:EPR,EPR Properties,Other Specialized REITs
INTA,NasdaqGS:INTA,"Intapp, Inc.",Application Software
HLNE,NasdaqGS:HLNE,Hamilton Lane Incorporated,Asset Management and Custody Banks
JJSF,NasdaqGS:JJSF,J&J Snack Foods Corp.,Packaged Foods and Meats
GHC,NYSE:GHC,Graham Holdings Company,Education Services
FWRD,NasdaqGS:FWRD,Forward Air Corporation,Air Freight and Logistics
CBU,NYSE:CBU,"Community Bank System, Inc.",Regional Banks
THS,NYSE:THS,"TreeHouse Foods, Inc.",Packaged Foods and Meats
MDC,NYSE:MDC,"M.D.C. Holdings, Inc.",Homebuilding
MXL,NasdaqGS:MXL,"MaxLinear, Inc.",Semiconductors
RARE,NasdaqGS:RARE,Ultragenyx Pharmaceutical Inc.,Biotechnology
MGEE,NasdaqGS:MGEE,"MGE Energy, Inc.",Electric Utilities
HUBG,NasdaqGS:HUBG,"Hub Group, Inc.",Air Freight and Logistics
UMBF,NasdaqGS:UMBF,UMB Financial Corporation,Regional Banks
TRIP,NasdaqGS:TRIP,"Tripadvisor, Inc.",Interactive Media and Services
VRNS,NasdaqGS:VRNS,"Varonis Systems, Inc.",Systems Software
LFST,NasdaqGS:LFST,"LifeStance Health Group, Inc.",Health Care Services
AIN,NYSE:AIN,Albany International Corp.,Industrial Machinery and Supplies and Components
